locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Gdańsk Stogi,ul. Hoża,1,27,369000,13667,Oferta biura nieruchomości,ponad tydzień temu,6,https://adresowo.pl/o/mieszkanie-gdansk-stogi-ul-hoza-1-pokoj-s0w4n3,https://s2.adresowa.pl/oi/1e/6c/3a69d6_decc_cover-1-pokojowe-mieszkanie-gdansk-stogi-ul-hoza.jpg
Gdańsk Śródmieście,ul. Chmielna,1,69,1899000,27578,Oferta biura nieruchomości,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-chmielna-1-pokoj-a1q8w8,https://s2.adresowa.pl/oi/7e/70/3a69d2_ec0a_cover-1-pokojowe-mieszkanie-gdansk-srodmiescie-ul-chmielna.jpg
Gdańsk Przymorze,ul. Kołobrzeska,2,37,570000,15372,Bez pośredników,ponad tydzień temu,20,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-kolobrzeska-2-pokojowe-h0u8t5,https://s2.adresowa.pl/oi/58/44/3a7592_67ea_cover-2-pokojowe-mieszkanie-gdansk-przymorze-ul-kolobrzeska.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Gdańsk Żabianka,ul. Szyprów,2,42,759000,18071,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-gdansk-zabianka-ul-szyprow-2-pokojowe-a2m6n3,https://s2.adresowa.pl/oi/44/35/3a7510_27a3_cover-2-pokojowe-mieszkanie-gdansk-zabianka-ul-szyprow.jpg
Gdańsk,ul. Tysiąclecia,2,32,445000,14127,Bez pośredników,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-gdansk-ul-tysiaclecia-2-pokojowe-o9f5y7,https://s2.adresowa.pl/oi/51/40/3a750a_8e98_cover-2-pokojowe-mieszkanie-gdansk-ul-tysiaclecia.jpg
Gdańsk Śródmieście,ul. Chmielna,1,58,1557000,26789,Oferta biura nieruchomości,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-chmielna-1-pokoj-l8g1f1,https://s2.adresowa.pl/oi/72/62/3a69d0_6d60_cover-1-pokojowe-mieszkanie-gdansk-srodmiescie-ul-chmielna.jpg
Gdańsk Łostowice,ul. Pastelowa,2,34,425000,12409,Oferta biura nieruchomości,ponad tydzień temu,10,https://adresowo.pl/o/mieszkanie-gdansk-lostowice-ul-pastelowa-2-pokojowe-g0z5i1,https://s2.adresowa.pl/oi/24/33/3a6998_bd0a_cover-2-pokojowe-mieszkanie-gdansk-lostowice-ul-pastelowa.jpg
Gdańsk Orunia,ul. Związkowa,2,43,495000,11512,Bez pośredników,ponad tydzień temu,3,https://adresowo.pl/o/mieszkanie-gdansk-orunia-ul-zwiazkowa-2-pokojowe-v8f1p2,https://s2.adresowa.pl/oi/73/49/3a7422_9727_cover-2-pokojowe-mieszkanie-gdansk-orunia-ul-zwiazkowa.jpg
Gdańsk Oliwa,ul. Karpacka,2,31,595000,19194,Bez pośredników,ponad tydzień temu,20,https://adresowo.pl/o/mieszkanie-gdansk-oliwa-ul-karpacka-2-pokojowe-r9v5v1,https://s2.adresowa.pl/oi/64/3f/3a71fe_75c0_cover-2-pokojowe-mieszkanie-gdansk-oliwa-ul-karpacka.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Gdańsk Morena,,4,74,860000,11622,Bez pośredników,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-gdansk-morena-4-pokojowe-74-m2-p9p7h0,https://s2.adresowa.pl/oi/6f/33/3a6de8_a5a5_cover-4-pokojowe-mieszkanie-gdansk-morena.jpg
Gdańsk Śródmieście,ul. Chmielna,1,46,1299000,27978,Oferta biura nieruchomości,ponad tydzień temu,8,https://adresowo.pl/o/mieszkanie-gdansk-srodmiescie-ul-chmielna-1-pokoj-i0n4h5,https://s2.adresowa.pl/oi/20/62/3a698e_9201_cover-1-pokojowe-mieszkanie-gdansk-srodmiescie-ul-chmielna.jpg
Gdańsk Przymorze,ul. Chłopska,2,43,675000,15698,Oferta biura nieruchomości,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-chlopska-2-pokojowe-k1t4l6,https://s2.adresowa.pl/oi/73/6d/3a690a_30b6_cover-2-pokojowe-mieszkanie-gdansk-przymorze-ul-chlopska.jpg
Gdańsk Żabianka,ul. Sztormowa,4,64,1100000,17188,Bez pośredników,ponad tydzień temu,15,https://adresowo.pl/o/mieszkanie-gdansk-zabianka-ul-sztormowa-4-pokojowe-d0g5j8,https://s2.adresowa.pl/oi/3e/61/3a6d98_2d5b_cover-4-pokojowe-mieszkanie-gdansk-zabianka-ul-sztormowa.jpg
